participant,round_index,condition,condition_group,question_raw,extra_1,extra_2,score,adjusted_score
P03,7,C7_Audio_Unpredictable,Audio only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,51",51.0,51.0
P03,7,C7_Audio_Unpredictable,Audio only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,19",19.0,19.0
P03,7,C7_Audio_Unpredictable,Audio only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,59,59.0,59.0
P03,7,C7_Audio_Unpredictable,Audio only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,67,67.0,33.0
P03,7,C7_Audio_Unpredictable,Audio only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,39,39.0,39.0
P03,7,C7_Audio_Unpredictable,Audio only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,61",61.0,61.0
P03,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,61",61.0,61.0
P03,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,25",25.0,25.0
P03,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,68,68.0,68.0
P03,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,66,66.0,34.0
P03,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,45,45.0,45.0
P03,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,61",61.0,61.0
P03,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,76",76.0,76.0
P03,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,20",20.0,20.0
P03,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,81,81.0,81.0
P03,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,30,30.0,70.0
P03,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,66,66.0,66.0
P03,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,86",86.0,86.0
P04,1,C1_No_Distraction,No distraction,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,75",75.0,75.0
P04,1,C1_No_Distraction,No distraction,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,10",10.0,10.0
P04,1,C1_No_Distraction,No distraction,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,25,25.0,25.0
P04,1,C1_No_Distraction,No distraction,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,90,90.0,10.0
P04,1,C1_No_Distraction,No distraction,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,30,30.0,30.0
P04,1,C1_No_Distraction,No distraction,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,5",5.0,5.0
P04,2,C2_Visual_Predictable,Visual only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,75",75.0,75.0
P04,2,C2_Visual_Predictable,Visual only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,9",9.0,9.0
P04,2,C2_Visual_Predictable,Visual only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,10,10.0,10.0
P04,2,C2_Visual_Predictable,Visual only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,100,100.0,0.0
P04,2,C2_Visual_Predictable,Visual only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,35,35.0,35.0
P04,2,C2_Visual_Predictable,Visual only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,5",5.0,5.0
P04,3,C3_Visual_Unpredictable,Visual only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,75",75.0,75.0
P04,3,C3_Visual_Unpredictable,Visual only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,10",10.0,10.0
P04,3,C3_Visual_Unpredictable,Visual only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,25,25.0,25.0
P04,3,C3_Visual_Unpredictable,Visual only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,60,60.0,40.0
P04,3,C3_Visual_Unpredictable,Visual only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,35,35.0,35.0
P04,3,C3_Visual_Unpredictable,Visual only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,10",10.0,10.0
P04,4,C4_Audio_Predictable,Audio only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,75",75.0,75.0
P04,4,C4_Audio_Predictable,Audio only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,30",30.0,30.0
P04,4,C4_Audio_Predictable,Audio only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,10,10.0,10.0
P04,4,C4_Audio_Predictable,Audio only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,45,45.0,55.0
P04,4,C4_Audio_Predictable,Audio only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,60,60.0,60.0
P04,4,C4_Audio_Predictable,Audio only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,10",10.0,10.0
P04,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,85",85.0,85.0
P04,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,20",20.0,20.0
P04,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,11,11.0,11.0
P04,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,50,50.0,50.0
P04,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,85,85.0,85.0
P04,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,55",55.0,55.0
P04,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,75",75.0,75.0
P04,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,40",40.0,40.0
P04,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,10,10.0,10.0
P04,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,55,55.0,45.0
P04,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,75,75.0,75.0
P04,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,71",71.0,71.0
P04,7,C7_Audio_Unpredictable,Audio only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,90",90.0,90.0
P04,7,C7_Audio_Unpredictable,Audio only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,60",60.0,60.0
P04,7,C7_Audio_Unpredictable,Audio only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,11,11.0,11.0
P04,7,C7_Audio_Unpredictable,Audio only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,66,66.0,34.0
P04,7,C7_Audio_Unpredictable,Audio only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,95,95.0,95.0
P04,7,C7_Audio_Unpredictable,Audio only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,66",66.0,66.0
P04,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,90",90.0,90.0
P04,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,70",70.0,70.0
P04,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,10,10.0,10.0
P04,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,40,40.0,60.0
P04,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,95,95.0,95.0
P04,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,75",75.0,75.0
P04,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,90",90.0,90.0
P04,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,85",85.0,85.0
P04,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,10,10.0,10.0
P04,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,35,35.0,65.0
P04,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,96,96.0,96.0
P04,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,75",75.0,75.0
P05,1,C1_No_Distraction,No distraction,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,21",21.0,21.0
P05,1,C1_No_Distraction,No distraction,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,0",0.0,0.0
P05,1,C1_No_Distraction,No distraction,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,7,7.0,7.0
P05,1,C1_No_Distraction,No distraction,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,85,85.0,15.0
P05,1,C1_No_Distraction,No distraction,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,6,6.0,6.0
P05,1,C1_No_Distraction,No distraction,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,73",73.0,73.0
P05,2,C2_Visual_Predictable,Visual only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,19",19.0,19.0
P05,2,C2_Visual_Predictable,Visual only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,0",0.0,0.0
P05,2,C2_Visual_Predictable,Visual only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,0,0.0,0.0
P05,2,C2_Visual_Predictable,Visual only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,95,95.0,5.0
P05,2,C2_Visual_Predictable,Visual only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,18,18.0,18.0
P05,2,C2_Visual_Predictable,Visual only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,91",91.0,91.0
P05,3,C3_Visual_Unpredictable,Visual only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,32",32.0,32.0
P05,3,C3_Visual_Unpredictable,Visual only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,31",31.0,31.0
P05,3,C3_Visual_Unpredictable,Visual only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,20,20.0,20.0
P05,3,C3_Visual_Unpredictable,Visual only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,30,30.0,70.0
P05,3,C3_Visual_Unpredictable,Visual only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,35,35.0,35.0
P05,3,C3_Visual_Unpredictable,Visual only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,62",62.0,62.0
P05,4,C4_Audio_Predictable,Audio only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,68",68.0,68.0
P05,4,C4_Audio_Predictable,Audio only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,22",22.0,22.0
P05,4,C4_Audio_Predictable,Audio only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,77,77.0,77.0
P05,4,C4_Audio_Predictable,Audio only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,61,61.0,39.0
P05,4,C4_Audio_Predictable,Audio only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,47,47.0,47.0
P05,4,C4_Audio_Predictable,Audio only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,45",45.0,45.0
P05,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,36",36.0,36.0
P05,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,19",19.0,19.0
P05,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,34,34.0,34.0
P05,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,71,71.0,29.0
P05,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,32,32.0,32.0
P05,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,77",77.0,77.0
P05,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,84",84.0,84.0
P05,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,39",39.0,39.0
P05,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,93,93.0,93.0
P05,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,30,30.0,70.0
P05,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,92,92.0,92.0
P05,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,35",35.0,35.0
P05,7,C7_Audio_Unpredictable,Audio only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,96",96.0,96.0
P05,7,C7_Audio_Unpredictable,Audio only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,26",26.0,26.0
P05,7,C7_Audio_Unpredictable,Audio only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,36,36.0,36.0
P05,7,C7_Audio_Unpredictable,Audio only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,87,87.0,13.0
P05,7,C7_Audio_Unpredictable,Audio only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,81,81.0,81.0
P05,7,C7_Audio_Unpredictable,Audio only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,96",96.0,96.0
P05,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,98",98.0,98.0
P05,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,31",31.0,31.0
P05,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,87,87.0,87.0
P05,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,76,76.0,24.0
P05,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,92,92.0,92.0
P05,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,68",68.0,68.0
P05,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,96",96.0,96.0
P05,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,26",26.0,26.0
P05,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,80,80.0,80.0
P05,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,71,71.0,29.0
P05,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,87,87.0,87.0
P05,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,59",59.0,59.0
P06,1,C1_No_Distraction,No distraction,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,35",35.0,35.0
P06,1,C1_No_Distraction,No distraction,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,10",10.0,10.0
P06,1,C1_No_Distraction,No distraction,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,70,70.0,70.0
P06,1,C1_No_Distraction,No distraction,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,94,94.0,6.0
P06,1,C1_No_Distraction,No distraction,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,30,30.0,30.0
P06,1,C1_No_Distraction,No distraction,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,20",20.0,20.0
P06,2,C2_Visual_Predictable,Visual only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,44",44.0,44.0
P06,2,C2_Visual_Predictable,Visual only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,20",20.0,20.0
P06,2,C2_Visual_Predictable,Visual only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,74,74.0,74.0
P06,2,C2_Visual_Predictable,Visual only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,83,83.0,17.0
P06,2,C2_Visual_Predictable,Visual only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,35,35.0,35.0
P06,2,C2_Visual_Predictable,Visual only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,36",36.0,36.0
P06,3,C3_Visual_Unpredictable,Visual only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,29",29.0,29.0
P06,3,C3_Visual_Unpredictable,Visual only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,19",19.0,19.0
P06,3,C3_Visual_Unpredictable,Visual only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,66,66.0,66.0
P06,3,C3_Visual_Unpredictable,Visual only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,85,85.0,15.0
P06,3,C3_Visual_Unpredictable,Visual only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,20,20.0,20.0
P06,3,C3_Visual_Unpredictable,Visual only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,15",15.0,15.0
